
이름: 김광현(Kwang-Hyun Kim),복귀년도: 2022
전/후반기,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
토,5,4,0,0,2,0,0,0,21.2,12,12,0.00,99,92,31,4,0,1,6,0,0,12,363,1.71,0.337,0.378,0.791,4.98,,,
일,4,2,0,0,0,2,0,0,12.2,11,8,0.00,58,50,15,3,1,0,6,0,0,2,198,1.66,0.300,0.375,0.775,5.68,,,
시간,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
14:00,1,1,0,0,0,1,0,0,2.1,4,4,0.00,15,12,6,0,0,0,2,0,0,0,58,3.43,0.500,0.571,1.071,15.43,,,
16:30,1,1,0,0,1,0,0,0,6.0,3,3,0.00,29,27,9,0,0,1,2,0,0,2,89,1.83,0.333,0.379,0.823,4.50,,,
17:00,8,5,0,0,1,2,0,0,31.0,24,17,0.00,142,132,44,10,2,0,8,0,0,16,512,1.68,0.333,0.371,0.810,4.94,,,
18:30,11,11,0,0,4,4,0,0,62.1,31,24,0.00,262,241,67,9,5,2,11,0,1,28,897,1.25,0.278,0.307,0.689,3.47,,,
이름: 류제국(Je-Kuk Ryu),복귀년도: 2013
전/후반기,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
전반기,9,9,0,0,4,1,0,0,50.2,19,19,17.30,215,186,46,5,0,5,23,1,5,36,863,1.36,0.247,0.346,0.701,3.38,1.11,6.57,0.469
후반기,11,11,0,0,8,1,0,0,61.0,31,29,28.75,270,231,63,9,3,6,27,0,4,52,1092,1.48,0.273,0.353,0.769,4.28,1.02,0.93,-0.014
월,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
5월,2,2,0,0,1,0,0,0,9.2,4,4,4.00,44,38,11,2,0,2,6,1,0,6,175,1.76,0.289,0.386,0.886,3.72,1.15,0.06,0.079
6월,5,5,0,0,2,0,0,0,30.0,10,10,9.15,121,105,23,1,0,3,13,0,3,23,489,1.20,0.219,0.322,0.636,3.00,1.01,5.15,0.475
7월,3,3,0,0,1,2,0,0,14.1,10,9,9.15,71,61,20,2,0,0,6,0,2,10,292,1.81,0.328,0.406,0.767,5.65,1.25,-2.55,-0.414
8월,5,5,0,0,3,0,0,0,26.2,14,13,11.75,118,102,27,4,3,3,12,0,2,26,502,1.46,0.265,0.350,0.801,4.39,1.07,0.90,0.049
9월,4,4,0,0,4,0,0,0,23.2,10,10,10.00,103,83,20,4,0,1,13,0,2,19,393,1.39,0.241,0.347,0.672,3.80,0.96,2.47,0.180
10월,1,1,0,0,1,0,0,0,7.1,2,2,2.00,28,28,8,1,0,2,0,0,0,4,104,1.09,0.286,0.286,0.822,2.45,0.91,1.46,0.086
요일,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
수,2,2,0,0,1,1,0,0,10.0,7,6,7.00,48,40,13,1,0,1,4,0,2,8,192,1.70,0.325,0.404,0.829,5.40,0.91,-2.42,-0.265
목,2,2,0,0,1,0,0,0,10.2,4,4,4.00,48,39,9,0,0,0,8,0,0,14,198,1.59,0.231,0.354,0.585,3.38,0.97,1.02,0.073
금,4,4,0,0,3,0,0,0,25.1,13,13,11.80,101,90,23,4,0,4,6,0,2,26,395,1.14,0.256,0.313,0.746,4.62,0.85,0.39,0.023
토,8,8,0,0,5,1,0,0,46.0,16,16,13.25,195,171,44,5,3,4,17,0,5,31,796,1.33,0.257,0.340,0.732,3.13,1.16,10.16,0.634
일,4,4,0,0,2,0,0,0,19.2,10,9,10.00,93,77,20,4,0,2,15,1,0,9,374,1.78,0.260,0.380,0.770,4.12,1.19,-1.65,-0.010
시간,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
17:00,7,7,0,0,5,0,0,0,40.2,13,13,13.00,172,148,37,6,0,6,20,1,3,21,675,1.40,0.250,0.349,0.761,2.88,1.06,6.60,0.570
18:00,6,6,0,0,3,1,0,0,31.2,15,14,12.25,143,122,32,4,3,1,14,0,4,24,594,1.45,0.262,0.355,0.724,3.98,1.22,3.39,0.117
18:30,7,7,0,0,4,1,0,0,39.1,22,21,20.80,170,147,40,4,0,4,16,0,2,43,686,1.42,0.272,0.347,0.728,4.81,0.92,-2.50,-0.233
이름: 박찬호(Chan-Ho Park ),복귀년도: 2012
